ts,current,voltage,shunt_voltage
1716842214.141547,38.59756097560975,5.096,3.86
1716842214.142814,38.5,5.096,3.85
1716842214.144075,38.09756097560975,5.096,3.81
1716842214.14534,38.09756097560975,5.1,3.8000000000000003
1716842214.146603,38.0,5.096,3.8000000000000003
1716842214.147865,38.0,5.1,3.8000000000000003
1716842214.149123,38.0,5.092,3.8000000000000003
1716842214.150381,38.0,5.1,3.81
1716842214.151729,38.09756097560975,5.1,3.84
1716842214.153111,38.40243902439024,5.096,3.8000000000000003
1716842214.154479,38.09756097560975,5.096,3.81
1716842214.155936,38.09756097560975,5.096,3.84
1716842214.157315,38.40243902439024,5.1,3.84
1716842214.158679,38.40243902439024,5.1,3.8200000000000003
1716842214.160037,38.19512195121951,5.1,3.8200000000000003
1716842214.161422,38.40243902439024,5.1,3.84
1716842214.162807,38.40243902439024,5.104,3.81
1716842214.16417,38.09756097560975,5.1,3.81
1716842214.165524,38.0,5.1,3.8000000000000003
1716842214.166874,38.0,5.096,3.83
1716842214.168326,38.292682926829265,5.1,3.8000000000000003
1716842214.169706,38.0,5.1,3.8000000000000003
1716842214.17106,38.0,5.1,3.81
1716842214.173343,38.0,5.1,3.8200000000000003
1716842214.174736,38.19512195121951,5.1,3.8000000000000003
1716842214.176101,38.09756097560975,5.096,3.81
1716842214.177459,38.09756097560975,5.1,3.81
1716842214.178814,38.09756097560975,5.096,3.8200000000000003
1716842214.180172,38.19512195121951,5.1,3.84
1716842214.181537,38.59756097560975,5.1,3.86
1716842214.182909,38.5,5.1,3.81
1716842214.184269,38.09756097560975,5.1,3.81
1716842214.185626,38.09756097560975,5.096,3.8000000000000003
1716842214.186987,38.0,5.1,3.8000000000000003
1716842214.188344,38.09756097560975,5.1,3.81
1716842214.189701,38.09756097560975,5.1,3.8000000000000003
1716842214.191063,38.0,5.1,3.81
1716842214.192471,38.5,5.1,3.85
1716842214.193836,38.0,5.1,3.81
1716842214.195195,38.09756097560975,5.1,3.81
1716842214.196558,38.09756097560975,5.1,3.84
1716842214.197919,38.09756097560975,5.1,3.81
1716842214.199278,38.09756097560975,5.1,3.8200000000000003
1716842214.200632,38.19512195121951,5.104,3.85
1716842214.202028,38.292682926829265,5.1,3.83
1716842214.203396,38.19512195121951,5.1,3.81
1716842214.204758,38.09756097560975,5.1,3.8000000000000003
1716842214.206123,38.0,5.1,3.8000000000000003
1716842214.207478,38.40243902439024,5.1,3.84
1716842214.208839,38.0,5.1,3.81
1716842214.210193,38.09756097560975,5.104,3.8000000000000003
1716842214.211566,38.0,5.1,3.8000000000000003
1716842214.212922,38.0,5.1,3.8000000000000003
1716842214.214279,38.09756097560975,5.1,3.81
1716842214.215638,38.09756097560975,5.1,3.81
1716842214.217,38.09756097560975,5.1,3.85
1716842214.218359,38.09756097560975,5.1,3.81
1716842214.219726,38.292682926829265,5.1,3.84
